Antenna,Mouth,Back,Hand,Feet,Tail,Body,Color,Label,accuracy
0.5,0,0.5,0.5,0.5,0,0,0,0,B,nan
0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,B,1.0
0.5,0,0.5,0.5,0.5,0.5,0,0,0,B,0.0
0.5,0,0.5,0.5,0.5,0,0.5,0,0,B,0.0
0.5,1,0.5,1,0.5,0.5,0.5,1,1,A,nan
0.5,0,0.5,0.5,0.5,0,0.5,0,0,B,0.0
0.5,1,0.5,0.5,0.5,1,0.5,1,1,A,1.0
0.5,1,0.5,0.5,0.5,0.5,0.5,1,1,A,1.0
0.5,1,0.5,0.5,0.5,0.5,1,1,1,A,0.0
0.5,0,0.5,0.5,0.5,0.5,0,0,0,B,nan
0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,B,1.0
0.5,0,0.5,0.5,0.5,0.5,0,0,0,B,1.0
0.5,1,0.5,0.5,0.5,0.5,0.5,1,1,A,1.0
0.5,1,0.5,0.5,0.5,0.5,0,0,0,B,nan
0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,B,0.0
0.5,1,0.5,0.5,0.5,0.5,0.5,1,1,A,nan
0.5,1,0.5,0.5,0.5,0.5,0.5,1,1,A,1.0
0.5,0,0.5,0,0.5,0,0.5,0,0,B,nan
1,1,0.5,0.5,0.5,1,1,1,1,A,nan
0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,B,nan
0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,A,1.0
0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,B,nan
0.5,0.5,0.5,0.5,1,0,1,1,1,A,nan
