Antenna,Mouth,Back,Hand,Feet,Tail,Body,Side,Label,category,accuracy,isLabeled
1,1,1,1,1,0,1,1,1,A,1.0,False
1,1,1,1,1,0,1,1,1,A,1.0,False
1,1,1,0,1,1,1,1,1,A,1.0,False
1,1,1,0,1,1,1,1,1,A,0.0,False
0,1,0,0,0,0,0,0,0,B,0.0,False
0,1,0,0,0,0,0,0,0,B,1.0,False
0,0,0,0,0,1,0,0,0,B,1.0,False
0,0,0,0,0,1,0,0,0,B,1.0,False
1,0,1,1,1,1,1,1,1,A,0.0,False
0,0,1,0,0,0,0,0,0,B,1.0,False
0,0,0,0,1,0,0,0,0,B,0.0,False
1,1,0,1,1,1,1,1,1,A,1.0,False
1,0,0,0,0,0,0,0,0,B,1.0,False
0,1,1,1,1,1,1,1,1,A,1.0,False
1,1,1,1,1,0,1,1,1,A,1.0,False
0,0,0,1,0,0,0,0,0,B,1.0,False
0,0,0,0,0,0,0,0,0,B,1.0,False
1,1,1,0,1,1,1,1,1,A,1.0,False
1,1,1,1,1,1,1,1,1,A,0.0,False
0,1,0,0,0,0,0,0,0,B,1.0,False
1,1,1,1,0,1,1,1,1,A,1.0,False
0,0,0,0,0,1,0,0,0,B,1.0,False
0,0,1,0,0,0,0,0,0,B,1.0,False
1,0,1,1,1,1,1,1,1,A,1.0,False
1,1,0,1,1,1,1,1,1,A,0.0,False
0,0,0,0,1,0,0,0,0,B,1.0,False
1,0,0,0,0,0,0,0,0,B,1.0,False
0,1,1,1,1,1,1,1,1,A,1.0,False
1,1,1,1,1,0,1,1,1,A,1.0,False
0,0,0,1,0,0,0,0,0,B,1.0,False
0,0,0,0,0,0,0,0,0,B,1.0,False
1,1,1,0,1,1,1,1,1,A,1.0,False
0,1,0,0,0,0,0,0,0,B,1.0,False
1,1,1,1,1,1,1,1,1,A,1.0,False
0,0,0,0,0,1,0,0,0,B,1.0,False
1,1,1,1,0,1,1,1,1,A,1.0,False
1,0,1,1,1,1,1,1,1,A,1.0,False
0,0,1,0,0,0,0,0,0,B,1.0,False
0,0,0,0,1,0,0,0,0,B,1.0,False
1,1,0,1,1,1,1,1,1,A,1.0,False
1,0,0,0,0,0,0,0,0,B,1.0,False
0,1,1,1,1,1,1,1,1,A,1.0,False
0,0,0,1,0,0,0,0,0,B,1.0,False
1,1,1,1,1,0,1,1,1,A,1.0,False
0,0,0,0,0,0,0,0,0,B,1.0,False
1,1,1,0,1,1,1,1,1,A,1.0,False
0,1,0,0,0,0,0,0,0,B,1.0,False
1,1,1,1,1,1,1,1,1,A,1.0,False
0,0,0,0,0,1,0,0,0,B,1.0,False
1,1,1,1,0,1,1,1,1,A,1.0,False
0,0,1,0,0,0,0,0,0,B,1.0,False
1,0,1,1,1,1,1,1,1,A,1.0,False
